sample_index,can_id,can_id_hex,signal,node,timestamp_ms,value,units,raw_data
39257,177,0x0B1,front_brake_pressure,brake_node_1,213267,0,psi_x10,915974790316032
39258,178,0x0B2,rear_brake_pressure,brake_node_1,213267,1945,psi_x10,915974790317977
39259,177,0x0B1,front_brake_pressure,brake_node_1,213277,0,psi_x10,916017739988992
39260,178,0x0B2,rear_brake_pressure,brake_node_1,213277,1945,psi_x10,916017739990937
39261,1795,0x703,engine_rpm,master,213278,250,rpm,916022034956538
39262,177,0x0B1,front_brake_pressure,brake_node_1,213287,0,psi_x10,916060689661952
39263,178,0x0B2,rear_brake_pressure,brake_node_1,213287,1945,psi_x10,916060689663897
39264,177,0x0B1,front_brake_pressure,brake_node_1,213297,0,psi_x10,916103639334912
39265,178,0x0B2,rear_brake_pressure,brake_node_1,213297,1945,psi_x10,916103639336857
39266,1795,0x703,engine_rpm,master,213298,250,rpm,916107934302458
39267,177,0x0B1,front_brake_pressure,brake_node_1,213307,0,psi_x10,916146589007872
39268,178,0x0B2,rear_brake_pressure,brake_node_1,213307,1945,psi_x10,916146589009817
39269,177,0x0B1,front_brake_pressure,brake_node_1,213317,0,psi_x10,916189538680832
39270,178,0x0B2,rear_brake_pressure,brake_node_1,213317,1945,psi_x10,916189538682777
39271,1795,0x703,engine_rpm,master,213318,250,rpm,916193833648378
39272,177,0x0B1,front_brake_pressure,brake_node_1,213327,0,psi_x10,916232488353792
39273,178,0x0B2,rear_brake_pressure,brake_node_1,213327,1945,psi_x10,916232488355737
39274,177,0x0B1,front_brake_pressure,brake_node_1,213337,0,psi_x10,916275438026752
39275,178,0x0B2,rear_brake_pressure,brake_node_1,213337,1945,psi_x10,916275438028697
39276,1795,0x703,engine_rpm,master,213338,250,rpm,916279732994298
39277,177,0x0B1,front_brake_pressure,brake_node_1,213347,0,psi_x10,916318387699712
39278,178,0x0B2,rear_brake_pressure,brake_node_1,213347,1945,psi_x10,916318387701657
39279,177,0x0B1,front_brake_pressure,brake_node_1,213357,0,psi_x10,916361337372672
39280,178,0x0B2,rear_brake_pressure,brake_node_1,213357,1945,psi_x10,916361337374617
39281,1795,0x703,engine_rpm,master,213358,250,rpm,916365632340218
39282,177,0x0B1,front_brake_pressure,brake_node_1,213367,0,psi_x10,916404287045632
39283,178,0x0B2,rear_brake_pressure,brake_node_1,213367,1945,psi_x10,916404287047577
39284,177,0x0B1,front_brake_pressure,brake_node_1,213377,0,psi_x10,916447236718592
39285,178,0x0B2,rear_brake_pressure,brake_node_1,213377,1945,psi_x10,916447236720537
39286,1795,0x703,engine_rpm,master,213378,250,rpm,916451531686138
39287,177,0x0B1,front_brake_pressure,brake_node_1,213387,0,psi_x10,916490186391552
39288,178,0x0B2,rear_brake_pressure,brake_node_1,213387,1945,psi_x10,916490186393497
39289,177,0x0B1,front_brake_pressure,brake_node_1,213397,0,psi_x10,916533136064512
39290,178,0x0B2,rear_brake_pressure,brake_node_1,213397,1945,psi_x10,916533136066457
39291,1795,0x703,engine_rpm,master,213398,250,rpm,916537431032058
39292,387,0x183,,,4278190080,3,raw,18374686479671623683
39293,386,0x182,,,4278190080,2,raw,18374686479671623682
39294,177,0x0B1,front_brake_pressure,brake_node_1,213407,0,psi_x10,916576085737472
39295,178,0x0B2,rear_brake_pressure,brake_node_1,213407,1945,psi_x10,916576085739417
39296,385,0x181,,,4278190080,16908545,raw,18374686479688532225
39297,177,0x0B1,front_brake_pressure,brake_node_1,213417,0,psi_x10,916619035410432
39298,178,0x0B2,rear_brake_pressure,brake_node_1,213417,1945,psi_x10,916619035412377
39299,1795,0x703,engine_rpm,master,213418,250,rpm,916623330377978
39300,177,0x0B1,front_brake_pressure,brake_node_1,213427,0,psi_x10,916661985083392
39301,178,0x0B2,rear_brake_pressure,brake_node_1,213427,1945,psi_x10,916661985085337
39302,177,0x0B1,front_brake_pressure,brake_node_1,213437,0,psi_x10,916704934756352
39303,178,0x0B2,rear_brake_pressure,brake_node_1,213437,1945,psi_x10,916704934758297
39304,1795,0x703,engine_rpm,master,213438,250,rpm,916709229723898
39305,177,0x0B1,front_brake_pressure,brake_node_1,213447,0,psi_x10,916747884429312
39306,178,0x0B2,rear_brake_pressure,brake_node_1,213447,1945,psi_x10,916747884431257
39307,177,0x0B1,front_brake_pressure,brake_node_1,213457,0,psi_x10,916790834102272
39308,178,0x0B2,rear_brake_pressure,brake_node_1,213457,1945,psi_x10,916790834104217
39309,1795,0x703,engine_rpm,master,213458,250,rpm,916795129069818
39310,177,0x0B1,front_brake_pressure,brake_node_1,213467,0,psi_x10,916833783775232
39311,1795,0x703,engine_rpm,master,213467,260,rpm,916833783775492
39312,178,0x0B2,rear_brake_pressure,brake_node_1,213467,1945,psi_x10,916833783777177
39313,177,0x0B1,front_brake_pressure,brake_node_1,213477,0,psi_x10,916876733448192
39314,178,0x0B2,rear_brake_pressure,brake_node_1,213477,1945,psi_x10,916876733450137
39315,177,0x0B1,front_brake_pressure,brake_node_1,213487,0,psi_x10,916919683121152
39316,1795,0x703,engine_rpm,master,213487,260,rpm,916919683121412
39317,178,0x0B2,rear_brake_pressure,brake_node_1,213487,1945,psi_x10,916919683123097
39318,177,0x0B1,front_brake_pressure,brake_node_1,213497,0,psi_x10,916962632794112
39319,178,0x0B2,rear_brake_pressure,brake_node_1,213497,1945,psi_x10,916962632796057
39320,177,0x0B1,front_brake_pressure,brake_node_1,213507,0,psi_x10,917005582467072
39321,178,0x0B2,rear_brake_pressure,brake_node_1,213507,1945,psi_x10,917005582469017
39322,1795,0x703,engine_rpm,master,213508,260,rpm,917009877434628
39323,177,0x0B1,front_brake_pressure,brake_node_1,213517,0,psi_x10,917048532140032
39324,178,0x0B2,rear_brake_pressure,brake_node_1,213517,1945,psi_x10,917048532141977
39325,177,0x0B1,front_brake_pressure,brake_node_1,213527,0,psi_x10,917091481812992
39326,178,0x0B2,rear_brake_pressure,brake_node_1,213527,1945,psi_x10,917091481814937
39327,1795,0x703,engine_rpm,master,213528,260,rpm,917095776780548
39328,177,0x0B1,front_brake_pressure,brake_node_1,213537,0,psi_x10,917134431485952
39329,178,0x0B2,rear_brake_pressure,brake_node_1,213537,1945,psi_x10,917134431487897
39330,177,0x0B1,front_brake_pressure,brake_node_1,213547,0,psi_x10,917177381158912
39331,178,0x0B2,rear_brake_pressure,brake_node_1,213547,1945,psi_x10,917177381160857
39332,1795,0x703,engine_rpm,master,213548,260,rpm,917181676126468
39333,177,0x0B1,front_brake_pressure,brake_node_1,213557,0,psi_x10,917220330831872
39334,178,0x0B2,rear_brake_pressure,brake_node_1,213557,1945,psi_x10,917220330833817
39335,177,0x0B1,front_brake_pressure,brake_node_1,213567,0,psi_x10,917263280504832
39336,178,0x0B2,rear_brake_pressure,brake_node_1,213567,1945,psi_x10,917263280506777
39337,1795,0x703,engine_rpm,master,213568,260,rpm,917267575472388
39338,177,0x0B1,front_brake_pressure,brake_node_1,213577,0,psi_x10,917306230177792
39339,178,0x0B2,rear_brake_pressure,brake_node_1,213577,1945,psi_x10,917306230179737
39340,177,0x0B1,front_brake_pressure,brake_node_1,213587,0,psi_x10,917349179850752
39341,178,0x0B2,rear_brake_pressure,brake_node_1,213587,1945,psi_x10,917349179852697
39342,1795,0x703,engine_rpm,master,213588,260,rpm,917353474818308
39343,177,0x0B1,front_brake_pressure,brake_node_1,213597,0,psi_x10,917392129523712
39344,178,0x0B2,rear_brake_pressure,brake_node_1,213597,1945,psi_x10,917392129525657
39345,177,0x0B1,front_brake_pressure,brake_node_1,213607,0,psi_x10,917435079196672
39346,178,0x0B2,rear_brake_pressure,brake_node_1,213607,1945,psi_x10,917435079198617
39347,1795,0x703,engine_rpm,master,213608,260,rpm,917439374164228
39348,177,0x0B1,front_brake_pressure,brake_node_1,213617,0,psi_x10,917478028869632
39349,178,0x0B2,rear_brake_pressure,brake_node_1,213617,1945,psi_x10,917478028871577
39350,177,0x0B1,front_brake_pressure,brake_node_1,213627,0,psi_x10,917520978542592
39351,178,0x0B2,rear_brake_pressure,brake_node_1,213627,1945,psi_x10,917520978544537
39352,1795,0x703,engine_rpm,master,213628,260,rpm,917525273510148
39353,177,0x0B1,front_brake_pressure,brake_node_1,213637,0,psi_x10,917563928215552
39354,178,0x0B2,rear_brake_pressure,brake_node_1,213637,1945,psi_x10,917563928217497
39355,177,0x0B1,front_brake_pressure,brake_node_1,213647,0,psi_x10,917606877888512
39356,178,0x0B2,rear_brake_pressure,brake_node_1,213647,1945,psi_x10,917606877890457
39357,1795,0x703,engine_rpm,master,213648,260,rpm,917611172856068
39358,177,0x0B1,front_brake_pressure,brake_node_1,213657,0,psi_x10,917649827561472
39359,178,0x0B2,rear_brake_pressure,brake_node_1,213657,1945,psi_x10,917649827563417
